a	a1
feierliche	f W1 @0 r l I0 x @0
feierlichen	f W1 @0 r l I0 x @0 n
feierlicher	f W1 @0 r l I0 x @0 r
feiern	f W1 @0 r n
feiert	f W1 @0 r t
feiertag	f W1 @0 r t a0 k
feiertage	f W1 @0 r t a0 g @0
feiertagen	f W1 @0 r t a0 g @0 n
feierten	f W1 @0 r t @0 n
feig	f W1 k
feige	f W1 g @0
feigen	f W1 g @0 n
feigenbaum	f W1 g @0 n b B0 m
feigenblätter	f W1 g @0 n b l E0 t @0 r
feigenbäume	f W1 g @0 n b X0 m @0
feigenbäumen	f W1 g @0 n b X0 m @0 n
feigenkuchen	f W1 g @0 n k u0 x @0 n
feigenkörbe	f W1 g @0 n k /0 r b @0
feiges	f W1 g @0 s
feil	f W1 l
feilhalten	f W1 l h &0 l t @0 n
feilschen	f W1 l S @0 n
fein	f W1 n
feind	f W1 n t
feinde	f W1 n d @0
feinden	f W1 n d @0 n
feinder	f W1 n d @0 r
feindes	f W1 n d @0 s
feindin	f W1 n d I0 n
feindlich	f W1 n t l I0 x
feindlichen	f W1 n t l I0 x @0 n
feindschaft	f W1 n t S &0 f t
feindseligen	f W1 n t z e0 l I0 g @0 n
feine	f W1 n @0
feinem	f W1 n @0 m
feinen	f W1 n @0 n
feiner	f W1 n @0 r
feines	f W1 n @0 s
feingold	f W1 n g O0 l t
feinmehl	f W1 n m e0 l
feinste	f W1 n s t @0
feinstem	f W1 n s t @0 m
feinsten	f W1 n s t @0 n
feinstes	f W1 n s t @0 s
feist	f W1 s t
feiste	f W1 s t @0
feld	f E1 l t
felde	f E1 l d @0
felder	f E1 l d @0 r
feldern	f E1 l d @0 r n
feldes	f E1 l d @0 s
feldfrüchte	f E1 l t f r y0 x t @0
feldgeist	f E1 l t g W0 s t
feldgeister	f E1 l t g W0 s t @0 r
feldgeistern	f E1 l t g W0 s t @0 r n
feldgras	f E1 l t g r a0 s
feldhauptleute	f E1 l t h B0 p t l X0 t @0
feldhauptleuten	f E1 l t h B0 p t l X0 t @0 n
feldhauptmann	f E1 l t h B0 p t m &0 n
feldhauptmanns	f E1 l t h B0 p t m &0 n s
feldschlacht	f E1 l t S l &0 x t
feldzeichen	f E1 l t = W0 x @0 n
feldzug	f E1 l t = u0 k
felgen	f E1 l g @0 n
felix	f E1 l I1 k s
fell	f E1 l
felle	f E1 l @0
fellen	f E1 l @0 n
fels	f E1 l s
felsen	f E1 l z @0 n
felsenkluft	f E1 l z @0 n k l U0 f t
felsenklüften	f E1 l z @0 n k l Y0 f t @0 n
felsens	f E1 l z @0 n s
felsenstadt	f E1 l z @0 n S t &0 t
felsige	f E1 l z I0 g @0
felsklippe	f E1 l s k l I1 p @0
felsklippen	f E1 l s k l I1 p @0 n
felskluft	f E1 l s k l U0 f t
felsklüften	f E1 l s k l Y0 f t @0 n
felsspalte	f E1 l s S p &0 l t @0
felsspalten	f E1 l s S p &0 l t @0 n
felswand	f E1 l s v &0 n t
felswände	f E1 l s v E0 n d @0
fenster	f E1 n s t @0 r
fenstern	f E1 n s t @0 r n
fern	f E1 r n
ferne	f E1 r n @0
fernem	f E1 r n @0 m
fernen	f E1 r n @0 n
ferner	f E1 r n @0 r
fernerhin	f E1 r n @0 r h I0 n
fernes	f E1 r n @0 s
fernhalten	f E1 r n h &0 l t @0 n
fernhält	f E1 r n h E0 l t
fernsten	f E1 r n s t @0 n
ferse	f E1 r z @0
fertig	f E1 r t I0 x
fertigen	f E1 r t I0 g @0 n
fertigte	f E1 r t I0 x t @0
fesseln	f E1 s @0 l n
fest	f E1 s t
festband	f E1 s t b &0 n t
festbinden	f E1 s t b I0 n d @0 n
festbleiben	f E1 s t b l W0 b @0 n
feste	f E1 s t @0
festem	f E1 s t @0 m
festen	f E1 s t @0 n
fester	f E1 s t @0 r
festes	f E1 s t @0 s
festfeier	f E1 s t f W0 @0 r
festgehalten	f E1 s t g @0 h &0 l t @0 n
festgelegt	f E1 s t g @0 l e0 k t
festgesetzt	f E1 s t g @0 z E0 = t
festgesetzten	f E1 s t g @0 z E0 = t @0 n
festgesetztes	f E1 s t g @0 z E0 = t @0 s
festhalten	f E1 s t h &0 l t @0 n
festhält	f E1 s t h E0 l t
festigen	f E1 s t I0 g @0 n
festigkeit	f E1 s t I0 x k W0 t
festland	f E1 s t l &0 n t
festlichen	f E1 s t l I0 x @0 n
festmacht	f E1 s t m &0 x t
festmahl	f E1 s t m a0 l
festmahls	f E1 s t m a0 l s
festopfer	f E1 s t O0 + @0 r
festsetzen	f E1 s t z E0 = @0 n
feststampft	f E1 s t S t &0 m + t
feststehen	f E1 s t S t e0 @0 n
feststehet	f E1 s t S t e0 @0 t
feststellen	f E1 s t S t E0 l @0 n
festtag	f E1 s t t a0 k
festtage	f E1 s t t a0 g @0
festung	f E1 s t U0 N
festungen	f E1 s t U0 N @0 n
festus	f E1 s t U0 s
festversammlung	f E1 s t f E0 r z &0 m l U0 N
festzeiten	f E1 s t = W0 t @0 n
festzuhalten	f E1 s t = u0 h &0 l t @0 n
festzumachen	f E1 s t = u0 m &0 x @0 n
fett	f E1 t
fette	f E1 t @0
fetten	f E1 t @0 n
fetter	f E1 t @0 r
fettes	f E1 t @0 s
fettigkeit	f E1 t I0 x k W0 t
fettschwanz	f E1 t S v &0 n =
feucht	f X1 x t
feuchtet	f X1 x t @0 t
feuchtete	f X1 x t @0 t @0
feuer	f X1 @0 r
feuerbecken	f X1 @0 r b E0 k @0 n
feuerflamme	f X1 @0 r f l &0 m @0
feuerflammen	f X1 @0 r f l &0 m @0 n
feuerglanz	f X1 @0 r g l &0 n =
feuergrube	f X1 @0 r g r u0 b @0
feuerofen	f X1 @0 r o0 f @0 n
feueropfer	f X1 @0 r O0 + @0 r
feueropfern	f X1 @0 r O0 + @0 r n
feueropferspeise	f X1 @0 r O0 + @0 r S p W0 z @0
feuerrot	f X1 @0 r r o0 t
feuers	f X1 @0 r s
feuersäule	f X1 @0 r z X0 l @0
feuersäulen	f X1 @0 r z X0 l @0 n
feurig	f X1 r I0 x
feurige	f X1 r I0 g @0
feurigen	f X1 r I0 g @0 n
feuriger	f X1 r I0 g @0 r
feuriges	f X1 r I0 g @0 s
ficht	f I1 x t
fichten	f I1 x t @0 n
fieber	f i1 b @0 r
fieberte	f i1 b @0 r t @0
fiel	f i1 l
fiele	f i1 l @0
fielen	f i1 l @0 n
finde	f I1 n d @0
finden	f I1 n d @0 n
findest	f I1 n d @0 s t
findet	f I1 n d @0 t
fing	f I1 N
fingen	f I1 N @0 n
finger	f I1 N @0 r
fingern	f I1 N @0 r n
fingerreif	f I1 N @0 r r W0 f
fingerringe	f I1 N @0 r r I0 N @0
fingers	f I1 N @0 r s
finster	f I1 n s t @0 r
finstere	f I1 n s t @0 r @0
finsterer	f I1 n s t @0 r @0 r
finstern	f I1 n s t @0 r n
finsternis	f I1 n s t @0 r n I0 s
finstre	f I1 n s t r @0
fisch	f I1 S
fischaar	f I1 S a0 a0 r
fische	f I1 S @0
fischen	f I1 S @0 n
fischer	f I1 S @0 r
fischerhaken	f I1 S @0 r h a0 k @0 n
fischernetze	f I1 S @0 r n E0 = @0
fisches	f I1 S @0 s
fischgarne	f I1 S g &0 r n @0
fischhaken	f I1 S h a0 k @0 n
fischlein	f I1 S l W0 n
fischnetze	f I1 S n E0 = @0
fischtor	f I1 S t O0 r
fischzug	f I1 S = u0 k
fittich	f I0 t I0 x
fittiche	f I0 t I0 x @0
fittichen	f I0 t I0 x @0 n
flaches	f l &1 x @0 s
flachs	f l &1 k s
flachsschnur	f l &1 k s S n u0 r
flachsstengeln	f l &1 k s S t E1 N @0 l n
fladen	f l a1 d @0 n
flamme	f l &1 m @0
flammen	f l &1 m @0 n
flammendes	f l &1 m @0 n d @0 s
flanke	f l &1 N k @0
flechten	f l E1 x t @0 n
fleck	f l E1 k
flecken	f l E1 k @0 n
fledermaus	f l e1 d @0 r m B0 s
fledermäusen	f l e1 d @0 r m X0 z @0 n
flehe	f l e1 @0
flehen	f l e1 @0 n
flehst	f l e1 s t
fleht	f l e1 t
flehte	f l e1 t @0
flehten	f l e1 t @0 n
fleisch	f l W1 S
fleische	f l W1 S @0
fleischerne	f l W1 S @0 r n @0
fleischernes	f l W1 S @0 r n @0 s
fleisches	f l W0 S @0 s
fleischlich	f l W1 S l I0 x
fleischlichen	f l W1 S l I0 x @0 n
fleischlicher	f l W1 S l I0 x @0 r
fleischlicherweise	f l W1 S l I0 x @0 r v W0 z @0
fleischmarkt	f l W1 S m &0 r k t
fleischtöpfen	f l W1 S t /0 + @0 n
fleiss	f l W1 s
fleissig	f l W1 s I0 x
fleissige	f l W1 s I0 g @0
fleissigen	f l W1 s I0 g @0 n
fleissiger	f l W1 s I0 g @0 r
fleissigste	f l W1 s I0 x s t @0
flickt	f l I1 k t
flickten	f l I1 k t @0 n
fliege	f l i1 g @0
fliegen	f l i1 g @0 n
fliegende	f l i0 g @0 n d @0
fliegenden	f l i0 g @0 n d @0 n
fliegender	f l i1 g @0 n d @0 r
fliegt	f l i1 k t
flieh	f l i1
fliehe	f l i1 @0
fliehen	f l i1 @0 n
fliehet	f l i1 @0 t
flieht	f l i1 t
fliesse	f l i1 s @0
fliessen	f l i1 s @0 n
fliessend	f l i1 s @0 n t
fliessender	f l i1 s @0 n d @0 r
fliessendes	f l i1 s @0 n d @0 s
fliesst	f l i1 s t
flocht	f l O1 x t
flochten	f l O1 x t @0 n
flog	f l o1 k
flogen	f l o1 g @0 n
floh	f l o1
flohen	f l o1 @0 n
flohest	f l o1 @0 s t
floss	f l O1 s
flossen	f l O1 s @0 n
fluch	f l u1 x
fluchbringende	f l u1 x b r I0 N @0 n d @0
fluchbringenden	f l u1 x b r I0 N @0 n d @0 n
fluche	f l u1 x @0
fluchen	f l u1 x @0 n
fluchens	f l u1 x @0 n s
flucher	f l u1 x @0 r
fluches	f l u1 x @0 s
fluchet	f l u1 x @0 t
flucht	f l U1 x t
fluchte	f l u1 x t @0
fluchten	f l U1 x t @0 n
fluchtgepäck	f l U1 x t g @0 p E0 k
fluchtwegen	f l U1 x t v e0 g @0 n
fluchtzeichen	f l U1 x t = W0 x @0 n
fluchwort	f l u1 x v O0 r t
flugs	f l u1 k s
fluren	f l u1 r @0 n
fluss	f l U1 s
flusses	f l U1 s @0 s
flut	f l u1 t
fluten	f l u1 t @0 n
fläche	f l E1 x @0
flächen	f l E1 x @0 n
flöge	f l 1 g @0
flösse	f l /1 s @0
flössen	f l /1 s @0 n
flöte	f l 1 t @0
flöten	f l 1 t @0 n
flötenklage	f l 1 t @0 n k l a0 g @0
flötenspiel	f l 1 t @0 n S p i0 l
flüche	f l y1 x @0
flüchen	f l y1 x @0 n
flüchtet	f l Y1 x t @0 t
flüchtig	f l Y1 x t I0 x
flüchtige	f l Y1 x t I0 g @0
flüchtigen	f l Y1 x t I0 g @0 n
flüchtlinge	f l Y1 x t l I0 N @0
flüchtlingen	f l Y1 x t l I0 N @0 n
flügel	f l y1 g @0 l
flügeln	f l y1 g @0 l n
flügels	f l y1 g @0 l s
flüsse	f l Y1 s @0
flüssig	f l Y1 s I0 x
flüstern	f l Y1 s t @0 r n
folge	f O1 l g @0
folgen	f O1 l g @0 n
folgende	f O1 l g @0 n d @0
folgenden	f O1 l g @0 n d @0 n
folget	f O1 l g @0 t
folgt	f O1 l k t
folgte	f O1 l k t @0
folgten	f O1 l k t @0 n
folgtest	f O1 l k t @0 s t
fordere	f O1 r d @0 r @0
fordern	f O1 r d @0 r n
fordert	f O1 r d @0 r t
forderte	f O1 r d @0 r t @0
forderten	f O1 r d @0 r t @0 n
fordertest	f O1 r d @0 r t @0 s t
form	f O1 r m
formt	f O1 r m t
forsche	f O1 r S @0
forschen	f O1 r S @0 n
forschest	f O1 r S @0 s t
forschet	f O1 r S @0 t
forscht	f O1 r S t
forschte	f O1 r S t @0
forschten	f O1 r S t @0 n
fort	f O1 r t
fortan	f O0 r t &1 n
fortbringen	f O1 r t b r I0 N @0 n
fortgegangen	f O1 r t g @0 g &0 N @0 n
fortgehen	f O1 r t g e0 @0 n
fortgelassen	f O1 r t g @0 l &0 s @0 n
fortgerafft	f O1 r t g @0 r &0 f t
fortgeschleift	f O1 r t g @0 S l W1 f t
fortgezogen	f O1 r t g @0 = o0 g @0 n
fortging	f O1 r t g I0 N
forthin	f O0 r t h I1 n
fortschicken	f O1 r t S I0 k @0 n
fortschleifen	f O1 r t S l W0 f @0 n
fortschleudern	f O1 r t S l X0 d @0 r n
fortschritt	f O1 r t S r I0 t
fortschwimme	f O1 r t S v I0 m @0
fortunatus	f O0 r t u1 n a0 t U0 s
fortziehen	f O1 r t = i0 @0 n
fortzugehen	f O1 r t = u0 g e0 @0 n
forum	f o1 r U0 m
frage	f r a1 g @0
fragen	f r a1 g @0 n
fraget	f r a1 g @0 t
fragst	f r a1 k s t
fragt	f r a1 k t
fragte	f r a1 k t @0
fragten	f r a1 k t @0 n
frass	f r a1 s
frasse	f r a1 s @0
frassen	f r a1 s @0 n
frasses	f r a1 s @0 s
frau	f r B1
frauen	f r B1 @0 n
frauenhaus	f r B1 @0 n h B0 s
frauenhauses	f r B1 @0 n h B0 z @0 s
frauenkleider	f r B1 @0 n k l W0 d @0 r
frauenliebe	f r B1 @0 n l i0 b @0
frech	f r E1 x
freche	f r E1 x @0
frechen	f r E1 x @0 n
frecher	f r E1 x @0 r
freches	f r E1 x @0 s
frechheit	f r E1 x h W0 t
frei	f r W1
freie	f r W1 @0
freiem	f r W1 @0 m
freien	f r W1 @0 n
freier	f r W1 @0 r
freigegeben	f r W1 g @0 g e0 b @0 n
freigelassen	f r W1 g @0 l &0 s @0 n
freigelassener	f r W1 g @0 l &0 s @0 n @0 r
freigesprochen	f r W1 g @0 S p r O0 x @0 n
freigibst	f r W1 g i0 p s t
freiheit	f r W1 h W0 t
freilassen	f r W1 l &0 s @0 n
freilassung	f r W1 l &0 s U0 N
freilich	f r W1 l I0 x
freilässt	f r W1 l E0 s t
freimachen	f r W1 m &0 x @0 n
freimut	f r W1 m u0 t
freimütig	f r W1 m y0 t I0 x
freist	f r W1 s t
freistadt	f r W1 S t &0 t
freistatt	f r W1 S t &0 t
freistädte	f r W1 S t E0 t @0
freistädten	f r W1 S t E0 t @0 n
freit	f r W1 t
freite	f r W1 t @0
freiten	f r W1 t @0 n
freiwillig	f r W1 v I0 l I0 x
freiwillige	f r W1 v I0 l I0 g @0
freiwilligen	f r W1 v I0 l I0 g @0 n
freiwilliges	f r W1 v I0 l I0 g @0 s
fremd	f r E1 m t
fremde	f r E1 m d @0
fremdem	f r E1 m d @0 m
fremden	f r E1 m d @0 n
fremder	f r E1 m d @0 r
fremdes	f r E1 m d @0 s
fremdling	f r E1 m t l I0 N
fremdlinge	f r E1 m t l I0 N @0
fremdlingen	f r E1 m t l I0 N @0 n
fremdlings	f r E1 m t l I0 N s
fremdländisches	f r E1 m t l E0 n d I0 S @0 s
fresse	f r E1 s @0
fressen	f r E1 s @0 n
fressender	f r E0 s @0 n d @0 r
fresser	f r E1 s @0 r
fresserei	f r E1 s @0 r W1
fresset	f r E1 s @0 t
fressgier	f r E1 s g i0 r
fresst	f r E1 s t
freude	f r X1 d @0
freuden	f r X1 d @0 n
freudenboten	f r X1 d @0 n b o0 t @0 n
freudenbotin	f r X1 d @0 n b O0 t i1 n
freudenfest	f r X1 d @0 n f E0 s t
freudengesang	f r X1 d @0 n g @0 z &0 N
freudengeschrei	f r X1 d @0 n g @0 S r W0
freudenöl	f r X1 d @0 n 0 l
freudigem	f r X1 d I0 g @0 m
freudigkeit	f r X1 d I0 x k W0 t
freue	f r X1 @0
freuen	f r X1 @0 n
freuet	f r X1 @0 t
freund	f r X1 n t
freunde	f r X1 n d @0
freunden	f r X1 n d @0 n
freundes	f r X1 n d @0 s
freundin	f r X1 n d I0 n
freundinnen	f r X1 n d I0 n @0 n
freundlich	f r X1 n t l I0 x
freundliche	f r X1 n t l I0 x @0
freundlichen	f r X1 n t l I0 x @0 n
freundliches	f r X1 n t l I0 x @0 s
freundlichkeit	f r X1 n t l I0 x k W0 t
freundschaft	f r X1 n t S &0 f t
freut	f r X1 t
freute	f r X1 t @0
freuten	f r X1 t @0 n
frevel	f r e1 f @0 l
frevelhafter	f r e1 f @0 l h &0 f t @0 r
freveln	f r e1 f @0 l n
frevelregiment	f r e1 f @0 l r e0 g i0 m E0 n t
frevels	f r e1 f @0 l s
frevelt	f r e1 f @0 l t
freveltaten	f r e1 f @0 l t a0 t @0 n
freventlich	f r e1 f @0 n t l I0 x
frevler	f r e1 f l @0 r
frevlern	f r e1 f l @0 r n
frevlers	f r e1 f l @0 r s
friede	f r i1 d @0
frieden	f r i1 d @0 n
friedens	f r i1 d @0 n s
friedfertigen	f r i1 t f E0 r t I0 g @0 n
friedlich	f r i1 t l I0 x
friedlichen	f r i1 t l I0 x @0 n
friedlicher	f r i1 t l I0 x @0 r
friedsam	f r i1 t z &0 m
friedsame	f r i1 t z a0 m @0
friedsamen	f r i1 t z a0 m @0 n
frisch	f r I1 S
frische	f r I1 S @0
frischem	f r I1 S @0 m
frischen	f r I1 S @0 n
frischer	f r I1 S @0 r
frisches	f r I1 S @0 s
friss	f r I1 s
frisst	f r I1 s t
frist	f r I1 s t
froh	f r o1
frohe	f r o1 @0
frohlocke	f r o1 l O0 k @0
frohlocken	f r o1 l O0 k @0 n
frohlocket	f r o1 l O0 k @0 t
frohlockt	f r o1 l O0 k t
frohlockte	f r o1 l O0 k t @0
frohlockten	f r o1 l O0 k t @0 n
fromm	f r O1 m
fromme	f r O1 m @0
frommen	f r O1 m @0 n
frommer	f r O1 m @0 r
frommt	f r O1 m t
fronarbeit	f r o1 n &0 r b W0 t
fronarbeiter	f r o1 n &0 r b W0 t @0 r
fronarbeitern	f r o1 n &0 r b W0 t @0 r n
frondienst	f r O1 n d i0 n s t
frondienste	f r O1 n d i0 n s t @0
fronleuten	f r o0 n l X0 t @0 n
fronpflichtig	f r O1 n + l I0 x t I0 x
fronten	f r O1 n t @0 n
fronvogt	f r O1 n v o1 k t
fronvögte	f r O1 n v 1 k t @0
frost	f r O1 s t
frucht	f r u1 x t
fruchtbar	f r u1 x t b a0 r
fruchtbare	f r u1 x t b a0 r @0
fruchtbaren	f r u1 x t b a0 r @0 n
fruchtbares	f r u1 x t b a0 r @0 s
fruchtland	f r u1 x t l &0 n t
fruchtloses	f r u1 x t l o0 z @0 s
frässe	f r )1 s @0
fröhlich	f r 1 l I0 x
fröhliche	f r 1 l I0 x @0
fröhlichem	f r 1 l I0 x @0 m
fröhlichen	f r 1 l I0 x @0 n
fröhliches	f r 1 l I0 x @0 s
frömmigkeit	f r /1 m I0 x k W0 t
frösche	f r /1 S @0
fröschen	f r /1 S @0 n
früchte	f r y1 x t @0
früchten	f r y1 x t @0 n
früh	f r y1
frühe	f r y1 @0
frühen	f r y1 @0 n
früher	f r y1 @0 r
frühere	f r y1 @0 r @0
früheren	f r y1 @0 r @0 n
früherer	f r y1 @0 r @0 r
früheres	f r y1 @0 r @0 s
frühfeige	f r y1 f W0 g @0
frühling	f r y1 l I0 N
frühlinge	f r y1 l I0 N @0
frühmorgens	f r y0 m O1 r g @0 n s
frühregen	f r y1 r e0 g @0 n
fuchs	f U1 k s
fuhr	f u1 r
fuhren	f u1 r @0 n
fuhrest	f u1 r @0 s t
fundamente	f U0 n d &0 m E1 n t @0
funke	f U1 N k @0
funkeln	f U1 N k @0 l n
funkelt	f U1 N k @0 l t
funken	f U1 N k @0 n
furchen	f U1 r x @0 n
furcht	f U1 r x t
furchtbar	f U1 r x t b a0 r
furchtbare	f U1 r x t b a0 r @0
furchtbarer	f U1 r x t b a0 r @0 r
furchtbares	f U1 r x t b a0 r @0 s
furchtlos	f U1 r x t l o0 s
furchtsam	f U1 r x t z a0 m
furt	f u0 r t
furten	f U1 r t @0 n
fuss	f u1 s
fusse	f u1 s @0
fusses	f u1 s @0 s
fussgängern	f u1 s g E0 N @0 r n
fussschemel	f u1 s S e0 m @0 l
fusssohle	f u1 s z o0 l @0
fusssohlen	f u1 s z o0 l @0 n
fusstapfen	f u1 s t &1 + @0 n
fussvolk	f u1 s f O0 l k
futter	f U1 t @0 r
fäden	f )1 d @0 n
fähig	f )1 I0 x
fährgeld	f )1 r g E0 l t
fährlichkeit	f )1 r l I0 x k W0 t
fährst	f )1 r s t
fährt	f )1 r t
fälle	f E1 l @0
fällen	f E1 l @0 n
fället	f E1 l @0 t
fällt	f E1 l t
fällte	f E1 l t @0
fällten	f E1 l t @0 n
fälschen	f E1 l S @0 n
fälschlich	f E1 l S l I0 x
fände	f E1 n d @0
fänden	f E1 n d @0 n
fängers	f E1 N @0 r s
fängt	f E1 N t
färbt	f E1 r p t
fässer	f E1 s @0 r
fäulnis	f X1 l n I0 s
fäuste	f X1 s t @0
fäusten	f X1 s t @0 n
fördere	f /1 r d @0 r @0
fördern	f /1 r d @0 r n
fördert	f /1 r d @0 r t
förderung	f /1 r d @0 r U0 N
füchse	f Y1 k s @0
füge	f y1 g @0
füget	f y1 g @0 t
fügt	f y1 k t
fügte	f y1 k t @0
fühlen	f y1 l @0 n
fühlet	f y1 l @0 t
fühlt	f y1 l t
fühlte	f y1 l t @0
führe	f y1 r @0
führen	f y1 r @0 n
führer	f y1 r @0 r
führerstab	f y1 r @0 r S t a0 p
führest	f y1 r @0 s t
führet	f y1 r @0 t
führst	f y1 r s t
führt	f y1 r t
führte	f y1 r t @0
führten	f y1 r t @0 n
führtest	f y1 r t @0 s t
fülle	f Y1 l @0
füllen	f Y1 l @0 n
füllet	f Y1 l @0 t
füllt	f Y1 l t
füllte	f Y1 l t @0
füllten	f Y1 l t @0 n
fünf	f Y1 n f
fünfeckigen	f Y1 n f E1 k I0 g @0 n
fünfen	f Y1 n f @0 n
fünfhundert	f Y1 n f h U1 n d @0 r t
fünfhundertdreissig	f Y1 n f h U1 n d @0 r t d r W1 s I0 x
fünfhunderttausend	f Y1 n f h U1 n d @0 r t t B0 z @0 n t
fünfhundertundfünfzig	f Y1 n f h U1 n d @0 r t U0 n t f Y1 n f = I0 x
fünfmal	f Y1 n f m a0 l
fünftausend	f Y1 n f t B1 z @0 n t
fünftausendvierhundert	f Y1 n f t B1 z @0 n t f i1 r h U1 n d @0 r t
fünfte	f Y1 n f t @0
fünften	f Y1 n f t @0 n
fünftenmal	f Y1 n f t @0 n m a0 l
fünfundachtzig	f Y1 n f U0 n d &1 x = I0 x
fünfunddreissig	f Y1 n f U0 n t d r W1 s I0 x
fünfunddreissigste	f Y1 n f U0 n t d r W1 s I0 x s t @0
fünfundfünfzig	f Y1 n f U0 n t f Y1 n f = I0 x
fünfundneunzig	f Y1 n f U0 n t n X1 n = I0 x
fünfundsechzig	f Y1 n f U0 n t z E1 x = I0 x
fünfundsiebzig	f Y1 n f U0 n t z i1 p = I0 x
fünfundsiebzigtausend	f Y1 n f U0 n t z i1 p = I0 x t B0 z @0 n t
fünfundvierzig	f Y1 n f U0 n t f I1 r = I0 x
fünfundzwanzig	f Y1 n f U0 n t = v &1 n = I0 x
fünfundzwanzigsten	f Y1 n f U0 n t = v &1 n = I0 x s t @0 n
fünfundzwanzigtausend	f Y1 n f U0 n t = v &1 n = I0 x t B0 z @0 n t
fünfundzwanzigtausendeinhundert	f Y1 n f U0 n t = v &1 n = I0 x t B1 z @0 n t W1 n h U0 n d @0 r t
fünfzehn	f Y1 n f = e0 n
fünfzehntausend	f Y1 n f = e0 n t B1 z @0 n t
fünfzehnte	f Y1 n f = e0 n t @0
fünfzehnten	f Y1 n f = e0 n t @0 n
fünfzig	f Y1 n f = I0 x
fünfzigste	f Y1 n f = I0 x s t @0
fünfzigsten	f Y1 n f = I0 x s t @0 n
fünfzigtausend	f Y1 n f = I0 x t B0 z @0 n t
für	f y1 r
fürbitte	f y1 r b I0 t @0
fürchte	f Y1 r x t @0
fürchten	f Y1 r x t @0 n
fürchtest	f Y1 r x t @0 s t
fürchtet	f Y1 r x t @0 t
fürchtete	f Y1 r x t @0 t @0
fürchteten	f Y1 r x t @0 t @0 n
fürchtetet	f Y1 r x t @0 t @0 t
fürder	f Y1 r d @0 r
füreinander	f y1 r W0 n &0 n d @0 r
fürs	f Y1 r s
fürsorge	f y1 r z O0 r g @0
fürsprache	f y1 r S p r a0 x @0
fürsprecher	f y1 r S p r E0 x @0 r
fürst	f Y1 r s t
fürsten	f Y1 r s t @0 n
fürstentochter	f Y1 r s t @0 n t O0 x t @0 r
fürstentum	f Y1 r s t @0 n t u0 m
fürstentümer	f Y1 r s t @0 n t y0 m @0 r
fürstin	f Y1 r s t I0 n
fürstinnen	f Y1 r s t I0 n @0 n
fürwahr	f y0 r v a1 r
füsse	f y1 s @0
füssen	f y1 s @0 n
gaal	g a0 l
gaals	g a0 l s
gaasch	g )1 &0 S
gab	g a1 p
gabbai	g &1 b W1
gabbatha	g &1 b &0 t a0
gabe	g a1 b @0
gabel	g a1 b @0 l
gabelhaken	g a1 b @0 l h a0 k @0 n
gabeln	g a1 b @0 l n
gaben	g a1 b @0 n
gabriel	g a1 p r i0 l
gabst	g a1 p s t
gad	g a1 t
gadda	g &1 d a0
gaddi	g &0 d i0
gaddiël	g &1 d i1 l
gaders	g a1 d @0 r s
gadis	g a1 d i0 s
gaditer	g &0 d i0 t @0 r
gaditern	g &0 d i0 t @0 r n
gads	g a1 =
gaetham	g )1 @0 s h &1 m
gaham	g &0 h a1 m
gahar	g &0 h a1 r
gajus	g a1 j u1 s
galal	g &1 l a0 l
galals	g &1 l a0 l s
galater	g &0 l a1 t @0 r
galatien	g &0 l &0 t i1 @0 n
galatische	g &0 l a1 t I0 S @0
galbanum	g &0 l b a1 n U0 m
galgen	g &1 l g @0 n
galiläa	g &0 l i0 l )1 a0
galiläas	g &0 l i0 l )1 a0 s
galiläer	g &0 l i0 l )1 @0 r
galiläern	g &0 l i0 l )1 @0 r n
galiläische	g &0 l i0 l )1 I0 S @0
galiläischen	g &0 l i0 l )1 I0 S @0 n
galle	g &1 l @0
gallim	g &1 l I0 m
gallio	g &0 l i0 o0
galt	g &1 l t
galten	g &1 l t @0 n
gamaliel	g &0 m &1 l i0 l
gamaliels	g &0 m &0 l i0 e0 l s
gamliël	g &0 m l i1 l
gamliëls	g &0 m l i1 l s
gamul	g &0 m U0 l
gang	g &1 N
ganges	g &1 N @0 s
gannim	g &1 n I0 m
ganz	g &1 n =
ganze	g &1 n = @0
ganzem	g &1 n = @0 m
ganzen	g &1 n = @0 n
ganzer	g &1 n = @0 r
ganzes	g &1 n = @0 s
ganzopfer	g &1 n = O0 + @0 r
gar	g a1 r
garbe	g &1 r b @0
garben	g &1 r b @0 n
garbenhaufen	g &1 r b @0 n h B0 f @0 n
garde	g &1 r d @0
gareb	g &0 r e1 p
garizim	g a1 r i0 = i1 m
garn	g &1 r n
garten	g a1 r t @0 n
gartenbrunnen	g a1 r t @0 n b r U0 n @0 n
gartens	g a1 r t @0 n s
gasam	g a1 z a0 m
gases	g a1 z @0 s
gasse	g &1 s @0
gassen	g &1 s @0 n
gast	g a1 s t
gastfrei	g &1 s t f r W0
gastgeber	g &1 s t g e0 b @0 r
gastgeschenke	g &1 s t g @0 S E0 N k @0
gastmahl	g &1 s t m a0 l
gastweise	g &1 s t v W0 z @0
gath	g a1 t
gathiter	g &0 t i1 t @0 r
gathiters	g &0 t i1 t @0 r s
gattung	g &1 t U0 N
gaumen	g B1 m @0 n
gaza	g a1 z a0
gazelle	g &0 = E1 l @0
gazellen	g &0 = E1 l @0 n
gazitern	g &0 = i1 t @0 r n
gaëtam	g &0 t &1 m
geachtet	g @0 &1 x t @0 t
geantwortet	g @0 &1 n t v O0 r t @0 t
gearbeitet	g @0 &1 r b W0 t @0 t
